,C18358,C18359,C3659,CPt91,R181.96,R249.97,R265.95,R290.96,H19127,H19137,H19144,H19147,chimp.expressed,rhesus.expressed,human.expressed,chimp.specific,rhesus.specific,human.specific
ENSG00000000971,69,53,417,1359,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000002745,709,168,1580,500,0,0,1,1,2,8,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000003249,0,0,0,1,1,0,0,0,35,83,14,74,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000003989,253,478,573,482,9,24,3,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000005187,24,1,88,17,2,0,17,0,220,179,229,212,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000005249,0,0,18,0,113,79,148,129,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000006074,0,0,0,0,12,16,35,31,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000006453,0,115,188,13,0,0,0,0,101,23,86,87,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000006837,0,13,21,0,816,418,396,592,378,461,525,694,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000008056,0,361,21,38,14,0,26,0,2,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000008394,0,0,0,18,216,332,205,215,812,941,870,936,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000010219,88,142,340,157,0,0,1,0,179,191,201,184,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000010626,47,148,190,62,0,0,2,0,130,45,84,72,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000011143,177,377,515,190,0,0,2,15,128,95,171,230,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000011422,57,124,360,109,11,0,2,0,193,25,109,63,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000011465,0,14,6,0,2879,3159,573,355,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000011600,33,181,7,0,0,0,624,95,0,0,33,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000013293,0,18,0,0,699,289,312,708,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000018610,12,79,32,70,0,0,0,0,4,0,36,33,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000022556,0,0,0,0,0,0,0,0,103,49,2,123,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000025423,0,0,0,0,8,51,48,39,2,0,4,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000026036,0,0,11,0,24,17,44,16,4,3,8,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000026652,61,62,343,90,23,0,0,8,21,9,46,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000034053,1,383,218,0,1,14,0,0,3,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000035141,47,235,194,151,44,0,0,1,83,115,117,183,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000039068,54,231,206,107,0,1,1,0,7,45,169,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000042980,5,12,0,1,488,616,648,193,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000049768,0,0,0,0,0,135,24,67,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000050030,0,0,0,0,0,45,72,17,4,0,4,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000054179,0,0,2,0,0,1,0,0,105,2,136,19,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000058091,112,87,225,168,1,0,0,0,104,126,92,248,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000060709,22,0,16,753,0,1,0,0,7,6,17,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000060718,5,0,1,0,669,144,322,557,0,8,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000064225,202,52,344,640,0,0,0,1,51,99,135,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000064300,303,111,725,109,0,0,17,1,6,6,0,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000066294,113,199,450,308,1,0,50,0,225,163,255,420,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000066923,66,818,219,86,0,33,0,67,130,70,84,187,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000069482,0,0,11,15,24,24,108,11,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000069667,199,318,744,373,0,26,0,47,22,23,47,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000071282,55,58,23,32,1,0,0,1,155,255,44,255,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000071575,71,194,336,0,65,387,63,128,3,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000072422,1,30,13,2,436,465,419,359,0,7,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000073464,24,123,116,151,44,209,55,84,1,2,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000073578,0,24,0,0,0,0,0,0,7,0,5,7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000073712,46,67,92,613,1,0,0,15,82,47,99,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000073910,247,119,511,837,0,0,31,12,73,106,168,147,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000074317,22,5,10,23,687,469,138,459,0,0,0,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000075240,12,0,0,0,10,0,0,0,23,5,13,9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000075643,0,0,0,0,93,92,273,9,7,30,7,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000075891,29,833,89,2,0,2,1,0,2,0,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000076351,0,0,18,0,36,68,13,9,1,0,2,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000076706,155,1386,319,56,2,0,1,0,49,32,107,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000076716,59,31,59,21,0,31,0,7,181,422,33,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000078401,28,0,5,0,0,0,0,0,137,111,189,263,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000079112,1694,4628,4479,988,116,93,83,38,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000079150,6,48,184,180,0,22,0,0,79,64,65,92,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000081923,30,458,353,195,0,13,23,0,36,32,84,27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000083454,1,0,13,0,0,0,0,0,109,52,55,63,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000083812,9,42,75,0,26,0,0,42,41,8,29,45,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000083857,136,2245,765,4261,0,19,38,0,6,18,25,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000085514,7,12,32,38,0,0,0,0,94,45,55,53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000085741,15,296,2,0,0,19,0,14,151,94,15,89,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000086289,61,124,255,225,0,18,1,0,324,127,224,224,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000086967,1,198,160,0,0,0,1,11,3,4,39,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000087076,18,15,49,17,16,18,0,0,28,3,14,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000087237,17,9,0,20,13,0,3,0,101,24,36,131,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000087258,0,3,0,0,133,518,355,572,1,0,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000087266,92,219,285,130,24,0,0,92,156,110,104,174,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000087494,0,0,12,72,72,212,240,75,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000087589,0,9,45,0,197,141,168,80,2,0,12,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000088002,47,20,70,0,0,0,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000089012,0,0,71,0,118,105,66,0,0,0,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000089335,0,0,7,12,27,26,42,41,4,20,32,23,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000089505,33,16,67,18,0,0,0,0,17,35,402,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000090382,16,229,3,0,0,2,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000090530,103,43,157,439,231,32,0,0,87,18,43,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000090612,14,0,6,0,0,0,0,0,6,3,3,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000091317,0,0,0,0,57,149,0,72,14,21,81,30,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000091879,230,189,53,229,0,0,1,1,3,0,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000092009,0,0,0,0,109,175,236,68,0,0,8,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000092051,86,57,109,131,0,0,0,0,30,4,26,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000092607,0,1,1,0,0,0,0,0,93,121,299,56,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000093072,64,66,208,0,1,0,0,21,248,374,478,1043,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000095397,51,479,170,279,15,0,0,16,3,11,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000096264,25,472,0,29,0,0,0,0,28,0,1,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000096384,0,14,19,12,0,0,0,0,4,13,3,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000099337,0,58,43,11,21,0,0,0,12,2,7,28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000099866,31,10,27,109,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000099960,0,13,26,76,0,2,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000100024,76,96,182,504,0,0,0,0,109,38,93,36,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000100031,0,24,7,4,0,0,1,0,16,13,23,35,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000100078,0,0,0,0,80,0,65,65,1,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000100139,152,281,272,139,0,51,0,15,88,46,101,156,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000100211,0,27,72,34,0,0,0,0,60,18,80,51,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000100290,67,8,46,0,54,0,0,20,20,12,30,58,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000100504,211,385,844,615,0,13,50,0,73,19,20,31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000100532,53,84,141,29,55,0,75,0,48,30,59,95,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000100557,0,1,14,0,0,0,0,1,83,129,118,161,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000100575,21,112,145,143,0,0,19,0,125,95,200,171,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000100599,465,261,1035,226,18,0,0,1,812,928,550,1377,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000100764,186,202,525,78,0,0,24,10,13,26,28,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000100796,0,0,0,0,112,122,112,195,90,52,94,127,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000101166,84,192,242,102,0,15,0,0,190,193,190,194,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000101210,168,107,41,54,1,0,0,0,47,16,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000101680,898,165,2000,2009,0,1,2,0,1,17,7,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000101695,43,159,102,65,0,0,0,0,57,63,49,102,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000101846,161,40,213,51,0,0,9,1,311,290,128,341,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000102024,310,1715,1742,355,0,12,24,0,113,228,129,84,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000102870,9,85,1,19,0,0,0,12,38,23,21,26,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000102890,148,28,188,130,14,0,2,0,5,4,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000102891,18,14,111,87,0,0,0,0,3,8,61,8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000102970,920,5808,2094,113,1,0,5,0,80,103,382,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000102996,3,47,3,82,0,0,1,0,252,197,94,108,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000103248,54,215,277,141,27,0,0,54,87,95,137,168,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000103855,0,15,11,0,106,223,55,128,6,11,3,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000104043,0,13,18,0,196,202,554,305,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000104055,0,39,58,0,0,0,0,0,192,45,198,76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000104213,63,13,53,151,0,0,0,0,0,0,35,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000104324,0,1,10,0,200,205,381,263,1,0,4,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000104341,0,0,13,22,11,27,0,0,2,6,42,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000104499,0,0,0,1,347,206,233,217,2,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000104611,15,228,55,174,0,5,0,1,2,12,19,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000104689,27,273,217,0,0,21,22,0,18,20,16,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000104756,0,14,13,0,96,1,153,55,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000104903,34,50,6,0,0,1,0,0,58,86,30,187,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000105058,0,20,45,16,0,0,32,0,12,14,11,51,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000105193,212,1126,1418,705,0,0,0,16,553,517,711,739,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000105255,0,31,17,0,85,139,69,118,0,2,10,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000105492,0,30,15,0,2198,2048,2346,1842,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000105497,0,0,9,0,68,37,147,110,5,13,33,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000105708,0,0,31,16,0,18,22,0,21,21,17,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000105784,0,0,32,0,109,223,342,107,0,1,0,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000105974,44,118,133,1421,15,0,0,18,37,24,17,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000106025,130,30,179,439,0,0,0,1,147,99,430,93,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000106086,159,312,232,117,13,0,0,50,79,77,62,161,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000106153,180,499,543,340,0,0,0,1,631,751,946,779,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000106524,106,400,190,17,332,554,232,344,0,0,3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000106537,36,258,213,0,61,260,203,88,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000106554,23,33,20,17,0,0,0,0,139,100,150,208,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000106565,156,215,186,18,21,20,0,0,23,5,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000106615,0,0,0,0,42,163,39,31,0,5,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000106952,7,193,587,0,32,0,0,0,0,7,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000106991,103,228,49,77,0,0,0,1,49,74,76,111,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000107242,342,578,997,442,0,57,20,0,121,206,489,384,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000107281,10,86,208,183,94,93,73,19,9,0,15,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000107404,0,15,4,29,32,0,0,34,5,8,1,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000107485,391,344,941,103,0,2,2,0,113,185,66,244,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000107957,26,1,77,16,0,0,1,2,193,80,93,216,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000108405,48,339,42,86,0,0,0,1,10,71,32,115,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000108622,0,1,0,67,70,44,26,11,6,16,19,27,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000108691,171,1338,902,59,0,1,3,0,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000108702,873,10296,3730,45,15,22,0,0,1,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000108786,48,160,131,66,0,0,0,0,36,66,78,100,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000108849,0,0,0,0,27,105,71,15,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000108932,0,0,29,21,0,0,0,0,31,30,28,35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000109089,9,0,20,0,16,27,0,43,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000109255,0,0,1,0,56,0,52,14,0,0,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000109472,5,4,45,2,939,236,1347,1162,1,0,0,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000109475,13,25,5,27,0,0,0,0,0,0,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000109667,78,133,111,65,0,0,36,13,2,0,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000109684,0,53,34,0,68,278,147,144,45,37,102,70,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000109943,0,0,0,0,182,233,231,84,0,0,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000110013,10,109,175,45,83,0,95,0,86,47,271,147,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000110092,1,66,111,54,0,1,1,0,61,9,42,259,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000110375,0,38,66,94,0,0,0,51,40,9,9,22,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000110400,0,149,69,3,1,1,0,0,342,200,116,184,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000110492,5,23,28,36,0,0,0,0,31,15,17,14,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000110900,121,738,334,74,0,13,1,0,33,0,15,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000110934,12,21,22,13,0,0,26,72,14,16,12,21,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000110955,2763,8339,7782,3828,0,0,0,0,4415,3726,5426,6234,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000111321,46,456,48,48,0,0,1,0,11,12,7,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000111358,33,162,95,191,96,0,84,0,34,46,77,116,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000111450,75,35,106,17,0,0,47,0,13,20,31,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000111537,39,99,245,0,15,84,39,43,5,0,6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000111863,181,183,188,91,0,0,0,0,7,7,23,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000112195,0,164,46,0,37,89,62,135,21,16,10,48,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000112242,12,0,34,9,19,0,20,0,3,0,18,18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000112303,0,1,0,0,0,69,2,84,128,161,208,225,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000112306,28,55,41,58,0,0,0,0,5,13,25,28,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000112378,33,71,145,0,0,0,1,14,0,0,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000112486,26,0,44,0,17,0,0,0,23,18,6,49,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000112796,0,47,40,60,0,0,0,0,16,11,7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000113088,250,95,594,15,1321,3207,2496,1795,4,0,2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000113269,50,1,1,27,219,180,169,95,2,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000113296,84,629,59,339,0,2,2,0,16,14,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000113456,13,0,4,0,0,0,0,0,8,8,16,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000114388,0,0,44,28,8,0,54,17,22,61,30,34,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000114646,0,0,40,0,110,79,57,199,0,0,6,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000115008,237,75,924,676,0,0,4,0,81,28,40,428,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000115009,59,896,867,260,0,0,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000115085,24,753,37,34,0,70,0,0,1,58,46,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000115107,44,99,30,14,17,19,0,0,25,18,34,55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000115129,72,204,286,72,0,1,1,0,34,88,171,152,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000115414,58,52,1458,451,1743,1838,1185,1568,14,0,49,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000115607,41,0,123,213,103,32,52,18,1,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000115884,5,19,1,193,93,0,0,28,64,47,86,259,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000115946,0,105,42,0,0,0,0,0,16,12,21,45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000116106,25,1,626,1494,0,33,20,2,0,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000116478,0,0,0,0,0,0,0,0,10,3,29,38,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000116711,0,29,159,0,891,826,494,277,50,45,190,91,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000116771,0,52,17,47,0,0,1,0,55,45,44,92,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000116815,0,0,17,31,0,23,0,0,21,20,14,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000116824,152,303,57,27,0,0,1,15,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000117153,6,0,23,0,10,0,0,0,2,33,11,24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000117281,1,19,0,9,2811,3973,2221,1935,5,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000117560,0,0,2,0,28,13,64,208,4,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000117791,0,13,4,0,0,0,0,0,63,21,0,68,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000117862,21,131,202,57,0,0,0,0,120,148,123,185,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
